변환,원자료
"2022/12/05","1,300.40"
"2022/12/06","1,293.20"
"2022/12/07","1,309.00"
"2022/12/08","1,319.50"
"2022/12/09","1,320.40"
"2022/12/10",""
"2022/12/11",""
"2022/12/12","1,306.60"
"2022/12/13","1,310.00"
"2022/12/14","1,304.40"
"2022/12/15","1,296.00"
"2022/12/16","1,301.00"
"2022/12/17",""
"2022/12/18",""
"2022/12/19","1,310.10"
"2022/12/20","1,302.00"
"2022/12/21","1,298.00"
"2022/12/22","1,286.60"
"2022/12/23","1,276.10"
"2022/12/24",""
"2022/12/25",""
"2022/12/26","1,282.20"
"2022/12/27","1,276.40"
"2022/12/28","1,268.30"
"2022/12/29","1,268.40"
"2022/12/30","1,267.30"
"2022/12/31",""
"2023/01/01",""
"2023/01/02","1,267.30"
"2023/01/03","1,268.90"
"2023/01/04","1,272.10"
"2023/01/05","1,274.70"
"2023/01/06","1,270.30"
"2023/01/07",""
"2023/01/08",""
"2023/01/09","1,267.20"
"2023/01/10","1,246.80"
"2023/01/11","1,240.80"
"2023/01/12","1,245.30"
"2023/01/13","1,244.60"
"2023/01/14",""
"2023/01/15",""
"2023/01/16","1,240.60"
"2023/01/17","1,234.00"
"2023/01/18","1,238.50"
"2023/01/19","1,239.80"
"2023/01/20","1,236.00"
"2023/01/21",""
"2023/01/22",""
"2023/01/23",""
"2023/01/24",""
"2023/01/25","1,234.40"
"2023/01/26","1,233.40"
"2023/01/27","1,231.40"
"2023/01/28",""
"2023/01/29",""
"2023/01/30","1,230.20"
"2023/01/31","1,228.70"
"2023/02/01","1,230.80"
"2023/02/02","1,231.40"
"2023/02/03","1,219.30"
"2023/02/04",""
"2023/02/05",""
"2023/02/06","1,227.20"
"2023/02/07","1,247.50"
"2023/02/08","1,256.00"
"2023/02/09","1,257.10"
"2023/02/10","1,263.10"
"2023/02/11",""
"2023/02/12",""
"2023/02/13","1,264.30"
"2023/02/14","1,274.60"
"2023/02/15","1,269.90"
"2023/02/16","1,279.30"
"2023/02/17","1,283.70"
"2023/02/18",""
"2023/02/19",""
"2023/02/20","1,297.70"
"2023/02/21","1,295.80"
"2023/02/22","1,295.80"
"2023/02/23","1,303.80"
"2023/02/24","1,299.60"
"2023/02/25",""
"2023/02/26",""
"2023/02/27","1,300.50"
"2023/02/28","1,317.40"
"2023/03/01",""
"2023/03/02","1,319.20"
"2023/03/03","1,310.40"
"2023/03/04",""
"2023/03/05",""
"2023/03/06","1,304.80"
"2023/03/07","1,296.70"
"2023/03/08","1,299.10"
"2023/03/09","1,319.50"
"2023/03/10","1,319.70"
"2023/03/11",""
"2023/03/12",""
"2023/03/13","1,325.70"
"2023/03/14","1,307.30"
"2023/03/15","1,304.90"
"2023/03/16","1,302.00"
"2023/03/17","1,312.10"
"2023/03/18",""
"2023/03/19",""
"2023/03/20","1,303.60"
"2023/03/21","1,308.40"
"2023/03/22","1,307.80"
"2023/03/23","1,307.10"
"2023/03/24","1,287.20"
"2023/03/25",""
"2023/03/26",""
"2023/03/27","1,289.70"
"2023/03/28","1,300.30"
"2023/03/29","1,297.40"
"2023/03/30","1,299.30"
"2023/03/31","1,303.80"
"2023/04/01",""
"2023/04/02",""
"2023/04/03","1,295.40"
"2023/04/04","1,316.30"
"2023/04/05","1,310.30"
"2023/04/06","1,311.90"
"2023/04/07","1,318.70"
"2023/04/08",""
"2023/04/09",""
"2023/04/10","1,318.90"
"2023/04/11","1,320.00"
"2023/04/12","1,319.50"
"2023/04/13","1,324.20"
"2023/04/14","1,318.00"
"2023/04/15",""
"2023/04/16",""
"2023/04/17","1,299.30"
"2023/04/18","1,311.30"
"2023/04/19","1,318.80"
"2023/04/20","1,318.80"
"2023/04/21","1,327.60"
"2023/04/22",""
"2023/04/23",""
"2023/04/24","1,327.90"
"2023/04/25","1,332.70"
"2023/04/26","1,333.30"
"2023/04/27","1,337.30"
"2023/04/28","1,339.90"
"2023/04/29",""
"2023/04/30",""
"2023/05/01",""
"2023/05/02","1,339.10"
"2023/05/03","1,340.20"
"2023/05/04","1,339.10"
"2023/05/05",""
"2023/05/06",""
