변환,원자료
"2022/01/03","1,185.50"
"2022/01/04","1,190.80"
"2022/01/05","1,194.30"
"2022/01/06","1,198.20"
"2022/01/07","1,199.60"
"2022/01/10","1,202.40"
"2022/01/11","1,200.00"
"2022/01/12","1,195.20"
"2022/01/13","1,189.90"
"2022/01/14","1,188.20"
"2022/01/17","1,187.60"
"2022/01/18","1,192.30"
"2022/01/19","1,188.90"
"2022/01/20","1,191.80"
"2022/01/21","1,190.40"
"2022/01/24","1,193.60"
"2022/01/25","1,194.20"
"2022/01/26","1,197.80"
"2022/01/27","1,197.00"
"2022/01/28","1,202.40"
"2022/02/03","1,205.70"
"2022/02/04","1,205.40"
"2022/02/07","1,199.50"
"2022/02/08","1,199.40"
"2022/02/09","1,197.80"
"2022/02/10","1,196.00"
"2022/02/11","1,196.00"
"2022/02/14","1,199.60"
"2022/02/15","1,198.30"
"2022/02/16","1,198.50"
"2022/02/17","1,196.90"
"2022/02/18","1,197.10"
"2022/02/21","1,196.40"
"2022/02/22","1,194.60"
"2022/02/23","1,194.70"
"2022/02/24","1,192.10"
"2022/02/25","1,199.40"
"2022/02/28","1,202.70"
"2022/03/02","1,205.60"
"2022/03/03","1,205.00"
"2022/03/04","1,203.60"
"2022/03/07","1,211.50"
"2022/03/08","1,225.40"
"2022/03/10","1,234.50"
"2022/03/11","1,228.70"
"2022/03/14","1,232.40"
"2022/03/15","1,238.60"
"2022/03/16","1,241.70"
"2022/03/17","1,240.40"
"2022/03/18","1,220.60"
"2022/03/21","1,211.10"
"2022/03/22","1,213.70"
"2022/03/23","1,221.40"
"2022/03/24","1,212.70"
"2022/03/25","1,219.40"
"2022/03/28","1,218.30"
"2022/03/29","1,225.70"
"2022/03/30","1,220.50"
"2022/03/31","1,210.80"
"2022/04/01","1,210.70"
"2022/04/04","1,216.10"
"2022/04/05","1,216.70"
"2022/04/06","1,212.60"
"2022/04/07","1,219.10"
"2022/04/08","1,218.50"
"2022/04/11","1,224.00"
"2022/04/12","1,232.00"
"2022/04/13","1,236.60"
"2022/04/14","1,227.70"
"2022/04/15","1,224.20"
"2022/04/18","1,230.10"
"2022/04/19","1,232.80"
"2022/04/20","1,234.90"
"2022/04/21","1,237.10"
"2022/04/22","1,236.40"
"2022/04/25","1,241.70"
"2022/04/26","1,247.10"
"2022/04/27","1,248.30"
"2022/04/28","1,263.10"
"2022/04/29","1,269.40"
"2022/05/02","1,265.40"
"2022/05/03","1,265.80"
"2022/05/04","1,265.70"
"2022/05/06","1,261.80"
"2022/05/09","1,272.70"
"2022/05/10","1,274.60"
"2022/05/11","1,275.50"
"2022/05/12","1,277.00"
"2022/05/13","1,286.40"
"2022/05/16","1,286.00"
"2022/05/17","1,281.60"
"2022/05/18","1,277.20"
"2022/05/19","1,269.30"
"2022/05/20","1,274.60"
"2022/05/23","1,269.50"
"2022/05/24","1,267.70"
"2022/05/25","1,264.30"
"2022/05/26","1,263.30"
"2022/05/27","1,266.40"
"2022/05/30","1,256.90"
"2022/05/31","1,245.80"
"2022/06/02","1,238.40"
"2022/06/03","1,251.20"
"2022/06/07","1,241.10"
"2022/06/08","1,257.10"
"2022/06/09","1,255.40"
"2022/06/10","1,257.60"
"2022/06/13","1,266.00"
"2022/06/14","1,286.00"
"2022/06/15","1,289.70"
"2022/06/16","1,291.30"
"2022/06/17","1,284.10"
"2022/06/20","1,287.50"
"2022/06/21","1,291.70"
"2022/06/22","1,290.60"
"2022/06/23","1,295.70"
"2022/06/24","1,300.70"
"2022/06/27","1,299.40"
"2022/06/28","1,285.60"
"2022/06/29","1,284.90"
"2022/06/30","1,292.90"
"2022/07/01","1,299.80"
"2022/07/04","1,294.20"
"2022/07/05","1,297.90"
"2022/07/06","1,298.00"
"2022/07/07","1,307.40"
"2022/07/08","1,302.70"
"2022/07/11","1,299.30"
"2022/07/12","1,300.60"
"2022/07/13","1,312.90"
"2022/07/14","1,305.90"
"2022/07/15","1,310.00"
"2022/07/18","1,323.70"
"2022/07/19","1,317.80"
"2022/07/20","1,314.90"
"2022/07/21","1,308.60"
"2022/07/22","1,312.10"
"2022/07/25","1,311.70"
"2022/07/26","1,311.00"
"2022/07/27","1,310.00"
"2022/07/28","1,312.80"
"2022/07/29","1,304.00"
"2022/08/01","1,298.60"
"2022/08/02","1,306.40"
"2022/08/03","1,307.20"
"2022/08/04","1,310.50"
"2022/08/05","1,309.70"
"2022/08/08","1,299.30"
"2022/08/09","1,304.80"
"2022/08/10","1,305.10"
"2022/08/11","1,309.10"
"2022/08/12","1,302.50"
"2022/08/16","1,303.10"
"2022/08/17","1,309.60"
"2022/08/18","1,309.80"
"2022/08/19","1,317.30"
"2022/08/22","1,326.70"
"2022/08/23","1,338.20"
"2022/08/24","1,341.80"
"2022/08/25","1,341.40"
"2022/08/26","1,336.90"
"2022/08/29","1,332.50"
"2022/08/30","1,347.70"
"2022/08/31","1,347.50"
"2022/09/01","1,345.10"
"2022/09/02","1,351.40"
"2022/09/05","1,356.50"
"2022/09/06","1,369.70"
"2022/09/07","1,370.30"
"2022/09/08","1,385.30"
"2022/09/13","1,381.20"
"2022/09/14","1,374.80"
"2022/09/15","1,391.70"
"2022/09/16","1,394.20"
"2022/09/19","1,394.20"
"2022/09/20","1,390.10"
"2022/09/21","1,389.10"
"2022/09/22","1,393.60"
"2022/09/23","1,408.00"
"2022/09/26","1,408.40"
"2022/09/27","1,429.70"
"2022/09/28","1,427.20"
"2022/09/29","1,436.50"
"2022/09/30","1,434.80"
"2022/10/04","1,432.10"
"2022/10/05","1,431.20"
"2022/10/06","1,419.10"
"2022/10/07","1,404.20"
"2022/10/11","1,410.30"
"2022/10/12","1,433.50"
"2022/10/13","1,430.40"
"2022/10/14","1,427.00"
"2022/10/17","1,428.90"
"2022/10/18","1,436.60"
"2022/10/19","1,425.60"
"2022/10/20","1,420.60"
"2022/10/21","1,431.70"
"2022/10/24","1,436.60"
"2022/10/25","1,436.60"
"2022/10/26","1,436.50"
"2022/10/27","1,428.20"
"2022/10/28","1,418.10"
"2022/10/31","1,419.30"
"2022/11/01","1,422.20"
"2022/11/02","1,421.70"
"2022/11/03","1,418.00"
"2022/11/04","1,422.10"
"2022/11/07","1,422.40"
"2022/11/08","1,406.50"
"2022/11/09","1,387.30"
"2022/11/10","1,368.30"
"2022/11/11","1,370.10"
"2022/11/14","1,334.10"
"2022/11/15","1,320.30"
"2022/11/16","1,322.40"
"2022/11/17","1,325.60"
"2022/11/18","1,338.40"
"2022/11/21","1,340.00"
"2022/11/22","1,352.30"
"2022/11/23","1,355.70"
"2022/11/24","1,352.30"
"2022/11/25","1,333.20"
"2022/11/28","1,326.80"
"2022/11/29","1,339.00"
"2022/11/30","1,331.50"
"2022/12/01","1,320.10"
"2022/12/02","1,300.80"
"2022/12/05","1,300.40"
"2022/12/06","1,293.20"
"2022/12/07","1,309.00"
"2022/12/08","1,319.50"
"2022/12/09","1,320.40"
"2022/12/12","1,306.60"
"2022/12/13","1,310.00"
"2022/12/14","1,304.40"
"2022/12/15","1,296.00"
"2022/12/16","1,301.00"
"2022/12/19","1,310.10"
"2022/12/20","1,302.00"
"2022/12/21","1,298.00"
"2022/12/22","1,286.60"
"2022/12/23","1,276.10"
"2022/12/26","1,282.20"
"2022/12/27","1,276.40"
"2022/12/28","1,268.30"
"2022/12/29","1,268.40"
"2022/12/30","1,267.30"
"2023/01/02","1,267.30"
"2023/01/03","1,268.90"
"2023/01/04","1,272.10"
"2023/01/05","1,274.70"
"2023/01/06","1,270.30"
"2023/01/09","1,267.20"
"2023/01/10","1,246.80"
"2023/01/11","1,240.80"
"2023/01/12","1,245.30"
"2023/01/13","1,244.60"
"2023/01/16","1,240.60"
"2023/01/17","1,234.00"
"2023/01/18","1,238.50"
"2023/01/19","1,239.80"
"2023/01/20","1,236.00"
"2023/01/25","1,234.40"
"2023/01/26","1,233.40"
"2023/01/27","1,231.40"
"2023/01/30","1,230.20"
"2023/01/31","1,228.70"
"2023/02/01","1,230.80"
"2023/02/02","1,231.40"
"2023/02/03","1,219.30"
"2023/02/06","1,227.20"
"2023/02/07","1,247.50"
"2023/02/08","1,256.00"
"2023/02/09","1,257.10"
"2023/02/10","1,263.10"
"2023/02/13","1,264.30"
"2023/02/14","1,274.60"
"2023/02/15","1,269.90"
"2023/02/16","1,279.30"
"2023/02/17","1,283.70"
"2023/02/20","1,297.70"
"2023/02/21","1,295.80"
"2023/02/22","1,295.80"
"2023/02/23","1,303.80"
"2023/02/24","1,299.60"
"2023/02/27","1,300.50"
"2023/02/28","1,317.40"
"2023/03/02","1,319.20"
"2023/03/03","1,310.40"
"2023/03/06","1,304.80"
"2023/03/07","1,296.70"
"2023/03/08","1,299.10"
"2023/03/09","1,319.50"
"2023/03/10","1,319.70"
