Date,Close,Open,High,Low,Dow_Jones
2024-12-13,44027,43977,44030,43919,0.11
2024-12-12,43977,44199,44272,43941,-0.55
2024-12-11,44222,44335,44442,44181,-0.25
2024-12-10,44335,44489,44553,44261,-0.32
2024-12-09,44479,44709,44809,44451,-0.51
2024-12-06,44706,44854,44984,44660,-0.36
2024-12-05,44867,45094,45154,44812,-0.53
2024-12-04,45106,44903,45176,44871,0.67
2024-12-03,44808,44891,44987,44680,-0.22
2024-12-02,44905,45048,45138,44820,-0.33
2024-11-29,45055,44846,45171,44820,0.51
2024-11-27,44828,44975,45121,44790,-0.27
2024-11-26,44951,44849,45002,44532,0.28
2024-11-25,44826,44499,44915,44490,0.97
2024-11-22,44395,43989,44452,43818,0.92
2024-11-21,43989,43567,44146,43383,1.09
2024-11-20,43516,43403,43590,43181,0.27
2024-11-19,43400,43540,43622,42991,-0.32
2024-11-18,43540,43581,43654,43398,-0.06
2024-11-15,43568,43901,43911,43478,-0.76
2024-11-14,43901,44131,44261,43816,-0.47
2024-11-13,44108,44071,44280,43897,0.08
2024-11-12,44074,44438,44556,44039,-0.83
2024-11-11,44441,44152,44625,44142,0.68
2024-11-08,44141,43941,44300,43854,0.53
2024-11-07,43910,43958,44020,43806,0.02
2024-11-06,43901,42440,43965,42416,3.59
2024-11-05,42381,42000,42460,41917,1.01
2024-11-04,41956,42150,42277,41791,-0.6
2024-11-01,42209,41971,42495,41893,0.62
2024-10-31,41947,42332,42357,41873,-0.98
2024-10-30,42363,42522,42660,42292,-0.2
2024-10-29,42447,42643,42697,42364,-0.37
2024-10-28,42606,42360,42690,42360,0.67
2024-10-25,42321,42615,42811,42245,-0.67
2024-10-24,42605,42678,42747,42410,-0.31
2024-10-23,42738,42998,43065,42512,-1
2024-10-22,43169,43193,43284,42946,-0.02
2024-10-21,43177,43541,43578,43111,-0.78
2024-10-18,43518,43488,43581,43286,0.02
2024-10-17,43511,43341,43550,43254,0.39
2024-10-16,43342,43009,43369,42937,0.76
2024-10-15,43015,43400,43445,42964,-0.8
2024-10-14,43363,43110,43421,42986,0.51
2024-10-11,43143,42752,43180,42666,0.93
2024-10-10,42746,42805,42850,42587,-0.16
2024-10-09,42813,42375,42864,42254,1.03
2024-10-08,42375,42260,42427,42091,0.31
2024-10-07,42245,42640,42704,42117,-0.94
2024-10-04,42646,42280,42667,42252,0.78
2024-10-03,42317,42549,42575,42142,-0.45
2024-10-02,42510,42456,42581,42285,0.07
2024-10-01,42479,42605,42656,42251,-0.38
2024-09-30,42643,42648,42715,42245,-0.03
2024-09-27,42656,42538,43005,42489,0.24
2024-09-26,42555,42276,42594,42231,0.66
2024-09-25,42276,42563,42679,42206,-0.75
2024-09-24,42597,42485,42656,42409,0.23
2024-09-23,42501,42475,42562,42321,0.14
2024-09-20,42443,42467,42537,42249,-0.01
2024-09-19,42447,41951,42583,41951,1.28
2024-09-18,41909,42050,42416,41850,-0.3
2024-09-17,42037,42041,42270,41893,-0.05
2024-09-16,42057,41838,42184,41795,0.55
2024-09-13,41825,41532,41966,41518,0.7
2024-09-12,41536,41257,41544,41092,0.59
2024-09-11,41292,41168,41329,40420,0.26
2024-09-10,41186,41269,41367,40848,-0.21
2024-09-09,41271,40716,41450,40716,1.17
2024-09-06,40792,41266,41452,40674,-1.03
2024-09-05,41217,41420,41557,40982,-0.55
