Date,Gold_Price
2022-12-12,1794.48
2022-12-13,1783.03
2022-12-14,1810.62
2022-12-15,1807
2022-12-16,1777.77
2022-12-17,1792.98
2022-12-19,1791.97
2022-12-20,1787.25
2022-12-21,1818.42
2022-12-22,1816.3
2022-12-23,1794.63
2022-12-24,1798.88
2022-12-26,1801.88
2022-12-27,1803.67
2022-12-28,1812.88
2022-12-29,1806.68
2022-12-30,1816.37
2022-12-31,1826
2023-01-02,1827.2
2023-01-03,1831.19
2023-01-04,1838.9
2023-01-05,1855.86
2023-01-06,1833.11
2023-01-07,1867.61
2023-01-09,1869.14
2023-01-10,1871
2023-01-11,1878.13
2023-01-12,1878.18
2023-01-13,1899.67
2023-01-14,1921.66
2023-01-16,1919.19
2023-01-17,1919.25
2023-01-18,1909.54
2023-01-19,1908.54
2023-01-20,1932.48
2023-01-21,1928.18
2023-01-25,1937.82
2023-01-26,1948.73
2023-01-27,1931.81
2023-01-28,1929.33
2023-01-30,1929.73
2023-01-31,1922.5
2023-02-01,1928.78
2023-02-02,1955.58
2023-02-03,1915.78
2023-02-04,1866.97
2023-02-06,1865.88
2023-02-07,1869.92
2023-02-08,1875.38
2023-02-09,1875.75
2023-02-10,1862.54
2023-02-11,1866.24
2023-02-13,1863.62
2023-02-14,1856.46
2023-02-15,1855.08
2023-02-16,1838.65
2023-02-17,1834
2023-02-18,1842
2023-02-20,1838.66
2023-02-21,1842.15
2023-02-22,1837.3
2023-02-23,1825.75
2023-02-24,1824.73
2023-02-25,1812.11
2023-02-27,1812.6
2023-02-28,1818.33
2023-03-01,1826.62
2023-03-02,1837.46
2023-03-03,1840.4
2023-03-04,1856.44
2023-03-06,1854.24
2023-03-07,1846.55
2023-03-08,1814.74
2023-03-09,1816.46
2023-03-10,1833.35
2023-03-11,1869.47
2023-03-13,1880.84
2023-03-14,1911.76
2023-03-15,1902.48
2023-03-16,1923.78
2023-03-17,1922.79
2023-03-18,1991.44
2023-03-20,1978.86
2023-03-21,1979.4
2023-03-22,1943.71
2023-03-23,1971.71
2023-03-24,1990.62
2023-03-25,1978.1
2023-03-27,1974.65
2023-03-28,1958.89
2023-03-29,1971.79
2023-03-30,1963.53
2023-03-31,1978.8
2023-04-01,1970.4
2023-04-03,1960.6
2023-04-04,1984.4
2023-04-05,2021.8
2023-04-06,2019.89
2023-04-07,2008.73
2023-04-08,2008.73
2023-04-10,2003.79
2023-04-11,1993.72
2023-04-12,2004.12
2023-04-13,2017.98
2023-04-14,2039.23
2023-04-15,2005.54
2023-04-17,2002.53
2023-04-18,1993.57
2023-04-19,2006.7
2023-04-20,1994.47
2023-04-21,2004.11
2023-04-22,1983.6
2023-04-24,1984
2023-04-25,1994.86
2023-04-26,2001.64
2023-04-27,1991.7
2023-04-28,1986.1
2023-04-29,1990.42
2023-05-01,1987.48
2023-05-02,1983.96
2023-05-03,2015.14
2023-05-04,2056.76
2023-05-05,2048.53
2023-05-06,2016.9
2023-05-08,2017.22
2023-05-09,2021.75
2023-05-10,2035.8
2023-05-11,2032.44
2023-05-12,2017.23
2023-05-13,2011.66
2023-05-15,2010.59
2023-05-16,2015.26
2023-05-17,1991.67
2023-05-18,1983.87
2023-05-19,1960.2
2023-05-20,1980.06
2023-05-22,1980.7
2023-05-23,1971.8
2023-05-24,1976.62
2023-05-25,1960.6
2023-05-26,1941.62
2023-05-27,1947.89
2023-05-30,1944.2
2023-05-31,1959.5
2023-06-01,1967.4
2023-06-02,1978.52
2023-06-03,1949.41
2023-06-05,1949.8
2023-06-06,1962.5
2023-06-07,1965.08
2023-06-08,1946.75
2023-06-09,1966.44
2023-06-10,1962.39
2023-06-12,1961.4
2023-06-13,1962.05
2023-06-14,1945.96
2023-06-15,1945.66
2023-06-16,1960
2023-06-17,1959.34
2023-06-19,1959.2
2023-06-20,1953.64
2023-06-21,1938.78
2023-06-22,1934.9
2023-06-23,1915.6
2023-06-24,1922.87
2023-06-26,1926.99
2023-06-27,1923.93
