Date,Close,Open,High,Low,NASDAQ
2024-12-12,21615.27,21652.85,21715.83,21596.66,-0.68
2024-12-11,21763.98,21540.38,21784.71,21533.89,1.85
2024-12-10,21368.18,21492.51,21567.02,21313.27,-0.34
2024-12-09,21440.82,21573.76,21609.99,21400.77,-0.84
2024-12-06,21622.25,21458.58,21626.31,21449.62,0.92
2024-12-05,21425.22,21488.52,21517.49,21411.53,-0.31
2024-12-04,21492.36,21361.81,21498.44,21340.84,1.24
2024-12-03,21229.32,21106.51,21235.79,21081.8,0.31
2024-12-02,21164.6,20971.76,21201.03,20971.76,1.12
2024-11-29,20930.37,20771.02,20956.31,20751.96,0.9
2024-11-27,20744.49,20852.43,20853.08,20615.42,-0.85
2024-11-26,20922.9,20871.55,20944.9,20832.4,0.57
2024-11-25,20804.89,20918.76,20998.48,20712.38,0.14
2024-11-22,20776.23,20737.49,20797.24,20655.72,0.17
2024-11-21,20740.78,20775.27,20814.93,20436.8,0.36
2024-11-20,20667.1,20660.84,20676.57,20402.54,-0.08
2024-11-19,20684.59,20435.68,20696.47,20423.3,0.71
2024-11-18,20539.19,20450.21,20622.28,20401.26,0.71
2024-11-15,20394.13,20679.98,20684.56,20315.08,-2.4
2024-11-14,20896.67,21052.07,21067.66,20864.02,-0.66
2024-11-13,21036.16,21049.66,21154.94,20955.24,-0.16
2024-11-12,21070.79,21105.49,21144.67,20946.74,-0.17
2024-11-11,21106.59,21171.24,21182.03,20993.48,-0.05
2024-11-08,21117.18,21083.58,21155,21050.32,0.07
2024-11-07,21101.57,20896.41,21132.8,20896.41,1.54
2024-11-06,20781.33,20571.29,20807.03,20526.64,2.74
2024-11-05,20227.46,20042.93,20249.21,20042.93,1.32
2024-11-04,19963.6,20011.55,20106.99,19898.57,-0.35
2024-11-01,20033.14,19955.83,20162.54,19950.99,0.72
2024-10-31,19890.41,20227.19,20227.19,19880.26,-2.44
2024-10-30,20387.7,20510.92,20559.52,20378.75,-0.79
2024-10-29,20550.65,20369.08,20600.1,20294.58,0.98
2024-10-28,20351.07,20455.01,20470.43,20344.82,0
2024-10-25,20352.01,20354.91,20552.82,20322.25,0.59
2024-10-24,20232.87,20197.62,20256.38,20116.88,0.83
2024-10-23,20066.96,20303.55,20312.78,19934.92,-1.55
2024-10-22,20383.65,20256.97,20437.93,20218.85,0.11
2024-10-21,20361.47,20280.49,20386.68,20193.03,0.18
2024-10-18,20324.04,20288.48,20360.29,20273.55,0.66
2024-10-17,20190.42,20375.29,20377.65,20186.43,0.08
2024-10-16,20174.05,20172.87,20200.59,20036.73,0.07
2024-10-15,20159.83,20442.77,20484.31,20083.56,-1.37
2024-10-14,20439.05,20366.06,20493.9,20355.06,0.82
2024-10-11,20271.97,20154.83,20313.2,20142.17,0.15
2024-10-10,20241.76,20165.25,20314.24,20117.2,-0.13
2024-10-09,20268.86,20097.56,20284.42,20047.86,0.8
2024-10-08,20107.78,19902.21,20132.67,19881.08,1.55
2024-10-07,19800.74,19954.66,19990.12,19763.04,-1.17
2024-10-04,20035.02,20025.16,20045.69,19829.49,1.22
2024-10-03,19793.34,19712.33,19902.7,19688.22,-0.05
2024-10-02,19802.58,19725.95,19876.7,19630.91,0.15
2024-10-01,19773.3,20046.06,20056.2,19622.29,-1.43
2024-09-30,20060.69,19959.26,20072.42,19852.85,0.26
2024-09-27,20008.62,20147.28,20152.53,19964.13,-0.53
2024-09-26,20115.54,20273.3,20273.3,19966.99,0.72
2024-09-25,19972.61,19922.28,20043.43,19921.22,0.14
2024-09-24,19944.84,19917.56,19984.47,19739.67,0.47
2024-09-23,19852.2,19848.71,19892.78,19797.82,0.31
2024-09-20,19791.49,19816.29,19845.7,19632.73,-0.24
2024-09-19,19839.83,19798.71,19951.79,19723.94,2.56
2024-09-18,19344.49,19478.51,19643.51,19330.81,-0.45
2024-09-17,19432.4,19539.75,19596.34,19337.12,0.05
2024-09-16,19423.06,19412.79,19446.06,19294.18,-0.47
2024-09-13,19514.58,19396.1,19556.8,19384.69,0.47
2024-09-12,19423.07,19236.42,19456.41,19166.8,0.97
2024-09-11,19237.3,18866,19266.39,18531.58,2.17
2024-09-10,18829.14,18722.15,18845.74,18570.67,0.9
2024-09-09,18660.78,18579.8,18693.86,18469.4,1.3
2024-09-06,18421.31,18903.03,18930.77,18400.97,-2.69
2024-09-05,18930.33,18864.42,19102.35,18806.83,0.05
