Date,Closing_Price,Change,Fluctuation_Rate,Opening_Price,High,Low,Volume,Trading_Value,Market_Cap
2022-12-12,2373.02,-16.02,-0.67,2373.58,2381.87,2368.47,499225,5822260.0,1875700661.0
2022-12-13,2372.4,-0.62,-0.03,2385.05,2388.27,2364.87,447565,6659361.0,1874838728.0
2022-12-14,2399.25,26.85,1.13,2380.81,2400.18,2379.44,409799,5724107.0,1895655041.0
2022-12-15,2360.97,-38.28,-1.6,2383.83,2392.11,2360.95,375386,6134217.0,1865842784.0
2022-12-16,2360.02,-0.95,-0.04,2329.75,2360.44,2326.83,414172,7206180.0,1865107455.0
2022-12-19,2352.17,-7.85,-0.33,2350.78,2358.76,2342.28,323987,5018052.0,1859031541.0
2022-12-20,2333.29,-18.88,-0.8,2344.73,2353.86,2324.66,358771,5335838.0,1844296008.0
2022-12-21,2328.95,-4.34,-0.19,2346.39,2347.0,2325.78,329724,5102490.0,1840550909.0
2022-12-22,2356.73,27.78,1.19,2340.0,2356.73,2335.75,553053,9460859.0,1863411614.0
2022-12-23,2313.69,-43.04,-1.83,2325.86,2333.08,2311.9,366989,5935798.0,1829395536.0
2022-12-26,2317.14,3.45,0.15,2312.54,2321.92,2304.2,427845,5205750.0,1831727640.0
2022-12-27,2332.79,15.65,0.68,2327.52,2335.99,2321.48,448499,7126994.0,1844141209.0
2022-12-28,2280.45,-52.34,-2.24,2296.45,2296.45,2276.9,405894,7566893.0,1801877943.0
2022-12-29,2236.4,-44.05,-1.93,2265.73,2272.67,2236.38,361194,6036542.0,1767235221.0
2023-01-02,2225.67,-10.73,-0.48,2249.95,2259.88,2222.37,346345,5200138.0,1759241800.0
2023-01-03,2218.68,-6.99,-0.31,2230.98,2230.98,2180.67,410245,6149083.0,1753771077.0
2023-01-04,2255.98,37.3,1.68,2205.98,2260.06,2198.82,412841,6487598.0,1783808766.0
2023-01-05,2264.65,8.67,0.38,2268.2,2281.39,2252.97,430977,7521178.0,1791816776.0
2023-01-06,2289.97,25.32,1.12,2253.4,2300.62,2253.27,398607,6764112.0,1811418923.0
2023-01-09,2350.19,60.22,2.63,2315.87,2351.06,2312.56,342096,7028981.0,1858632833.0
2023-01-10,2351.31,1.12,0.05,2348.04,2370.18,2344.18,359914,6702908.0,1859599299.0
2023-01-11,2359.53,8.22,0.35,2364.05,2369.66,2350.36,369011,6297145.0,1865737441.0
2023-01-12,2365.1,5.57,0.24,2376.72,2377.8,2358.33,580433,7837777.0,1870238983.0
2023-01-13,2386.09,20.99,0.89,2377.34,2397.01,2375.78,862230,6976741.0,1886570607.0
2023-01-16,2399.86,13.77,0.58,2390.06,2410.22,2387.61,517762,6532807.0,1897375182.0
2023-01-17,2379.39,-20.47,-0.85,2400.92,2404.0,2374.65,536811,6314018.0,1881433259.0
2023-01-18,2368.32,-11.07,-0.47,2380.36,2383.0,2356.84,537393,5498577.0,1872694002.0
2023-01-19,2380.34,12.02,0.51,2354.56,2380.34,2354.56,370099,5448179.0,1882551677.0
2023-01-20,2395.26,14.92,0.63,2380.0,2395.97,2372.57,302507,5025541.0,1895790659.0
2023-01-25,2428.57,33.31,1.39,2426.58,2432.71,2421.51,550087,6665406.0,1922275331.0
2023-01-26,2468.65,40.08,1.65,2436.18,2468.65,2426.4,486832,8206399.0,1953918426.0
2023-01-27,2484.02,15.37,0.62,2474.52,2497.4,2464.53,509288,9092447.0,1966558579.0
2023-01-30,2450.47,-33.55,-1.35,2484.64,2491.13,2446.59,475410,9220413.0,1940151030.0
2023-01-31,2425.08,-25.39,-1.04,2449.92,2457.48,2423.37,617196,10394784.0,1918934215.0
2023-02-01,2449.8,24.72,1.02,2446.03,2453.29,2433.37,666296,8596021.0,1938780673.0
2023-02-02,2468.88,19.08,0.78,2481.94,2486.2,2454.6,693116,9121678.0,1953996214.0
2023-02-03,2480.4,11.52,0.47,2466.54,2485.08,2460.21,496861,8027061.0,1963172031.0
2023-02-06,2438.19,-42.21,-1.7,2461.82,2469.42,2438.04,566819,7671311.0,1929318578.0
2023-02-07,2451.71,13.52,0.55,2440.14,2456.17,2432.4,451159,7594011.0,1939610903.0
2023-02-08,2483.64,31.93,1.3,2469.42,2487.35,2465.96,415677,8001678.0,1965482080.0
2023-02-09,2481.52,-2.12,-0.09,2470.66,2487.14,2466.61,610694,8986377.0,1963858471.0
2023-02-10,2469.73,-11.79,-0.48,2470.65,2473.8,2454.74,662366,8402619.0,1954699937.0
2023-02-13,2452.7,-17.03,-0.69,2461.96,2462.58,2440.86,486399,7371041.0,1942812752.0
2023-02-14,2465.64,12.94,0.53,2471.33,2480.34,2459.83,349432,6738874.0,1953249936.0
2023-02-15,2427.9,-37.74,-1.53,2473.09,2473.44,2424.16,387067,8758718.0,1923761984.0
2023-02-16,2475.48,47.58,1.96,2444.06,2475.99,2442.07,388027,9170363.0,1961021978.0
2023-02-17,2451.21,-24.27,-0.98,2447.66,2471.51,2445.74,514047,8364504.0,1941744158.0
2023-02-20,2455.12,3.91,0.16,2453.25,2463.17,2430.27,390013,7535474.0,1944743467.0
2023-02-21,2458.96,3.84,0.16,2457.51,2466.07,2446.0,494661,7333623.0,1943888914.0
2023-02-22,2417.68,-41.28,-1.68,2430.87,2435.98,2416.16,427482,8386250.0,1911701229.0
2023-02-23,2439.09,21.41,0.89,2430.01,2449.62,2422.62,400992,7451977.0,1928501536.0
2023-02-24,2423.61,-15.48,-0.63,2442.49,2452.97,2421.47,369900,6991100.0,1915633306.0
2023-02-27,2402.64,-20.97,-0.87,2405.42,2405.56,2383.76,357218,6598230.0,1898711781.0
2023-02-28,2412.85,10.21,0.42,2417.58,2431.67,2407.29,529790,9274200.0,1906496015.0
2023-03-02,2427.85,15.0,0.62,2414.61,2440.59,2411.85,428342,9660274.0,1918505110.0
2023-03-03,2432.07,4.22,0.17,2438.73,2442.1,2423.08,371882,7845380.0,1921472037.0
2023-03-06,2462.62,30.55,1.26,2452.46,2464.45,2441.07,418814,9781226.0,1945884267.0
2023-03-07,2463.35,0.73,0.03,2457.04,2475.73,2455.65,450481,10732466.0,1945941992.0
2023-03-08,2431.91,-31.44,-1.28,2435.58,2442.61,2426.52,438359,9967055.0,1922025069.0
2023-03-09,2419.09,-12.82,-0.53,2440.79,2444.2,2416.25,476375,10357639.0,1911583468.0
2023-03-10,2394.59,-24.5,-1.01,2389.82,2400.87,2383.19,413411,7875520.0,1892450859.0
2023-03-13,2410.6,16.01,0.67,2400.45,2413.24,2369.79,380740,7702302.0,1904640758.0
2023-03-14,2348.97,-61.63,-2.56,2390.36,2390.78,2348.19,485076,7794604.0,1856250945.0
2023-03-15,2379.72,30.75,1.31,2380.09,2395.36,2370.77,443751,7591756.0,1880140744.0
2023-03-16,2377.91,-1.81,-0.08,2357.98,2382.79,2346.11,320194,7865787.0,1878507613.0
2023-03-17,2395.69,17.78,0.75,2403.7,2405.35,2382.8,364176,8617060.0,1893380949.0
2023-03-20,2379.2,-16.49,-0.69,2391.87,2405.99,2378.7,346034,6072911.0,1879711532.0
2023-03-21,2388.35,9.15,0.38,2396.54,2399.52,2383.17,355195,7269040.0,1886502692.0
2023-03-22,2416.96,28.61,1.2,2411.25,2417.47,2402.78,501412,7890323.0,1908726635.0
2023-03-23,2424.48,7.52,0.31,2398.27,2424.48,2397.91,567704,10367437.0,1914529716.0
2023-03-24,2414.96,-9.52,-0.39,2421.27,2423.76,2399.49,470659,9248184.0,1907314610.0
2023-03-27,2409.22,-5.74,-0.24,2423.94,2423.94,2395.97,472847,8534650.0,1902810299.0
2023-03-28,2434.94,25.72,1.07,2418.69,2434.94,2415.34,524016,8812618.0,1923151536.0
2023-03-29,2443.92,8.98,0.37,2432.63,2443.95,2428.61,497218,8829889.0,1930378482.0
2023-03-30,2453.16,9.24,0.38,2452.97,2462.7,2439.43,629052,10846640.0,1937575538.0
2023-03-31,2476.86,23.7,0.97,2459.94,2481.24,2456.54,722612,12903370.0,1957926358.0
2023-04-03,2472.34,-4.52,-0.18,2485.81,2485.81,2467.59,811724,11300346.0,1954443677.0
2023-04-04,2480.51,8.17,0.33,2475.87,2489.71,2472.79,832555,13496867.0,1960644519.0
2023-04-05,2495.21,14.7,0.59,2482.61,2497.61,2478.67,632720,9811877.0,1972182474.0
2023-04-06,2459.23,-35.98,-1.44,2488.0,2488.0,2458.5,751378,11332653.0,1943849429.0
2023-04-07,2490.41,31.18,1.27,2478.64,2493.06,2473.89,586993,11250171.0,1969009467.0
2023-04-10,2512.08,21.67,0.87,2491.68,2519.99,2490.17,717648,13539855.0,1986876447.0
2023-04-11,2547.86,35.78,1.42,2523.33,2550.97,2514.42,768176,14050595.0,2014288066.0
2023-04-12,2550.64,2.78,0.11,2546.36,2561.37,2536.23,900750,14426259.0,2016495718.0
2023-04-13,2561.66,11.02,0.43,2534.71,2561.66,2531.07,841719,11996436.0,2024512511.0
2023-04-14,2571.49,9.83,0.38,2580.1,2581.74,2560.53,892446,13088201.0,2032335488.0
2023-04-17,2575.91,4.42,0.17,2570.3,2577.08,2561.14,775752,12793678.0,2036226926.0
2023-04-18,2571.09,-4.82,-0.19,2582.23,2582.23,2557.19,896932,14106396.0,2032968742.0
2023-04-19,2575.08,3.99,0.16,2570.06,2582.11,2568.46,956994,12750865.0,2036483236.0
