﻿일,유종,WTI
12월 12일,,73.17
12월 13일,,75.39
12월 14일,,77.28
12월 15일,,76.11
12월 16일,,74.29
12월 19일,,75.19
12월 20일,,76.09
12월 21일,,78.29
12월 22일,,77.49
12월 23일,,79.56
12월 27일,,79.53
12월 28일,,78.96
12월 29일,,78.40
12월 30일,,80.26
01월 03일,,76.93
01월 04일,,72.84
01월 05일,,73.67
01월 06일,,73.77
01월 09일,,74.63
01월 10일,,75.12
01월 11일,,77.41
01월 12일,,78.39
01월 13일,,79.86
01월 17일,,80.18
01월 18일,,79.48
01월 19일,,80.33
01월 20일,,81.31
01월 23일,,81.62
01월 24일,,80.13
01월 25일,,80.15
01월 26일,,81.01
01월 27일,,79.68
01월 30일,,77.90
01월 31일,,78.87
02월 01일,,76.41
02월 02일,,75.88
02월 03일,,73.39
02월 06일,,74.11
02월 07일,,77.14
02월 08일,,78.47
02월 09일,,78.06
02월 10일,,79.72
02월 13일,,80.14
02월 14일,,79.06
02월 15일,,78.59
02월 16일,,78.49
02월 17일,,76.34
02월 21일,,76.16
02월 22일,,73.95
02월 23일,,75.39
02월 24일,,76.32
02월 27일,,75.68
02월 28일,,77.05
03월 01일,,77.69
03월 02일,,78.16
03월 03일,,79.68
03월 06일,,80.46
03월 07일,,77.58
03월 08일,,76.66
03월 09일,,75.72
03월 10일,,76.68
03월 13일,,74.80
03월 14일,,71.33
03월 15일,,67.61
03월 16일,,68.35
03월 17일,,66.74
03월 20일,,67.64
03월 21일,,69.33
03월 22일,,70.90
03월 23일,,69.96
03월 24일,,69.26
03월 27일,,72.81
03월 28일,,73.20
03월 29일,,72.97
03월 30일,,74.37
03월 31일,,75.67
04월 03일,,80.42
04월 04일,,80.71
04월 05일,,80.61
04월 06일,,80.70
04월 10일,,79.74
04월 11일,,81.53
04월 12일,,83.26
04월 13일,,82.16
04월 14일,,82.52
04월 17일,,80.83
04월 18일,,80.86
04월 19일,,79.16
04월 20일,,77.29
04월 21일,,77.87
04월 24일,,78.76
04월 25일,,77.07
04월 26일,,74.30
04월 27일,,74.76
04월 28일,,76.78
05월 01일,,75.66
05월 02일,,71.66
05월 03일,,68.60
05월 04일,,68.56
05월 05일,,71.34
05월 08일,,73.16
05월 09일,,73.71
05월 10일,,72.56
05월 11일,,70.87
05월 12일,,70.04
05월 15일,,71.11
05월 16일,,70.86
05월 17일,,72.83
05월 18일,,71.86
05월 19일,,71.55
05월 22일,,71.99
05월 23일,,72.91
05월 24일,,74.34
05월 25일,,71.83
05월 26일,,72.67
05월 30일,,69.46
05월 31일,,68.09
06월 01일,,70.10
06월 02일,,71.74
06월 05일,,72.15
06월 06일,,71.74
06월 07일,,72.53
06월 08일,,71.29
06월 09일,,70.17
06월 12일,,67.12
06월 13일,,69.42
06월 14일,,68.27
06월 15일,,70.62
06월 16일,,71.78
06월 20일,,70.50
06월 21일,,72.53
06월 22일,,69.51
06월 23일,,69.16
06월 26일,,69.37
06월 27일,,67.70
06월 28일,,69.56
06월 29일,,69.86
06월 30일,,70.64
07월 03일,,69.79
07월 05일,,71.79
07월 06일,,71.80
07월 07일,,73.86
07월 10일,,72.99
07월 11일,,74.83
07월 12일,,75.75
07월 13일,,76.89
07월 14일,,75.42
07월 17일,,74.15
07월 18일,,75.75
07월 19일,,75.35
07월 20일,,75.63
07월 21일,,77.07
07월 24일,,78.74
07월 25일,,79.63
07월 26일,,78.78
07월 27일,,80.09
07월 28일,,80.58
07월 31일,,81.80
08월 01일,,81.37
08월 02일,,79.49
