변환,원자료
"2022/12/05","3.016"
"2022/12/06","3.061"
"2022/12/07","3.060"
"2022/12/08","3.298"
"2022/12/09","3.295"
"2022/12/10",""
"2022/12/11",""
"2022/12/12","3.274"
"2022/12/13","3.250"
"2022/12/14","3.231"
"2022/12/15","3.179"
"2022/12/16","3.139"
"2022/12/17",""
"2022/12/18",""
"2022/12/19","3.134"
"2022/12/20","3.139"
"2022/12/21","3.129"
"2022/12/22","3.128"
"2022/12/23","3.154"
"2022/12/24",""
"2022/12/25",""
"2022/12/26","3.153"
"2022/12/27","3.153"
"2022/12/28","3.160"
"2022/12/29","3.209"
"2022/12/30","3.479"
"2022/12/31",""
"2023/01/01",""
"2023/01/02","3.189"
"2023/01/03","2.981"
"2023/01/04","2.954"
"2023/01/05","2.925"
"2023/01/06","2.929"
"2023/01/07",""
"2023/01/08",""
"2023/01/09","2.926"
"2023/01/10","3.000"
"2023/01/11","3.000"
"2023/01/12","3.259"
"2023/01/13","3.468"
"2023/01/14",""
"2023/01/15",""
"2023/01/16","3.424"
"2023/01/17","3.418"
"2023/01/18","3.378"
"2023/01/19","3.385"
"2023/01/20","3.508"
"2023/01/21",""
"2023/01/22",""
"2023/01/23",""
"2023/01/24",""
"2023/01/25","3.481"
"2023/01/26","3.476"
"2023/01/27","3.373"
"2023/01/28",""
"2023/01/29",""
"2023/01/30","3.170"
"2023/01/31","3.176"
"2023/02/01","3.309"
"2023/02/02","3.208"
"2023/02/03","3.350"
"2023/02/04",""
"2023/02/05",""
"2023/02/06","3.348"
"2023/02/07","3.573"
"2023/02/08","3.573"
"2023/02/09","3.424"
"2023/02/10","3.433"
"2023/02/11",""
"2023/02/12",""
"2023/02/13","3.438"
"2023/02/14","3.394"
"2023/02/15","3.393"
"2023/02/16","3.388"
"2023/02/17","3.393"
"2023/02/18",""
"2023/02/19",""
"2023/02/20","3.395"
"2023/02/21","3.392"
"2023/02/22","3.393"
"2023/02/23","3.439"
"2023/02/24","3.441"
"2023/02/25",""
"2023/02/26",""
"2023/02/27","3.397"
"2023/02/28","3.402"
"2023/03/01",""
"2023/03/02","3.348"
"2023/03/03","3.354"
"2023/03/04",""
"2023/03/05",""
"2023/03/06","3.243"
"2023/03/07","3.376"
"2023/03/08","3.376"
"2023/03/09","3.552"
"2023/03/10","3.442"
"2023/03/11",""
"2023/03/12",""
"2023/03/13","3.400"
"2023/03/14","3.404"
"2023/03/15","3.393"
"2023/03/16","3.387"
"2023/03/17","3.383"
"2023/03/18",""
"2023/03/19",""
"2023/03/20","3.387"
"2023/03/21","3.389"
"2023/03/22","3.381"
"2023/03/23","3.397"
"2023/03/24","3.390"
"2023/03/25",""
"2023/03/26",""
"2023/03/27","3.387"
"2023/03/28","3.341"
"2023/03/29","3.353"
"2023/03/30","3.356"
"2023/03/31","3.599"
"2023/04/01",""
"2023/04/02",""
"2023/04/03","3.485"
"2023/04/04","3.420"
"2023/04/05","3.419"
"2023/04/06","3.344"
"2023/04/07","3.303"
"2023/04/08",""
"2023/04/09",""
"2023/04/10","3.312"
"2023/04/11","3.313"
"2023/04/12","3.313"
"2023/04/13","3.308"
"2023/04/14","3.439"
"2023/04/15",""
"2023/04/16",""
